Date,Ticker
27/03/2019,E5CH9
29/03/2019,EWH9
01/04/2019,E1AJ9
03/04/2019,E1CJ9
05/04/2019,EW1J9
08/04/2019,E2AJ9
10/04/2019,E2CJ9
12/04/2019,EW2J9
15/04/2019,E3AJ9
17/04/2019,E3CJ9
22/04/2019,E4AJ9
24/04/2019,E4CJ9
26/04/2019,EW4J9
29/04/2019,E5AJ9
30/04/2019,EWJ9
01/05/2019,E1CK9
03/05/2019,EW1K9
06/05/2019,E2AK9
08/05/2019,E2CK9
10/05/2019,EW2K9
13/05/2019,E3AK9
15/05/2019,E3CK9
17/05/2019,EW3K9
20/05/2019,E4AK9
22/05/2019,E4CK9
24/05/2019,EW4K9
29/05/2019,E5CK9
31/05/2019,EWK9
03/06/2019,E1AM9
05/06/2019,E1CM9
07/06/2019,EW1M9
10/06/2019,E2AM9
12/06/2019,E2CM9
14/06/2019,EW2M9
17/06/2019,E3AM9
19/06/2019,E3CM9
21/06/2019,ESM9
24/06/2019,E4AM9
26/06/2019,E4CM9
28/06/2019,EWM9
01/07/2019,E1AN9
03/07/2019,E1CN9
05/07/2019,EW1N9
08/07/2019,E2AN9
10/07/2019,E2CN9
12/07/2019,EW2N9
15/07/2019,E3AN9
17/07/2019,E3CN9
19/07/2019,EW3N9
22/07/2019,E4AN9
24/07/2019,E4CN9
26/07/2019,EW4N9
29/07/2019,E5AN9
31/07/2019,EWN9
02/08/2019,EW1Q9
05/08/2019,E2AQ9
07/08/2019,E2CQ9
09/08/2019,EW2Q9
12/08/2019,E3AQ9
14/08/2019,E3CQ9
16/08/2019,EW3Q9
19/08/2019,E4AQ9
21/08/2019,E4CQ9
23/08/2019,EW4Q9
26/08/2019,E5AQ9
28/08/2019,E5CQ9
30/08/2019,EWQ9
04/09/2019,E1CU9
06/09/2019,EW1U9
09/09/2019,E2AU9
11/09/2019,E2CU9
13/09/2019,EW2U9
16/09/2019,E3AU9
18/09/2019,E3CU9
20/09/2019,ESU9
23/09/2019,E4AU9
25/09/2019,E4CU9
27/09/2019,EW4U9
30/09/2019,EWU9
02/10/2019,E1CV9
04/10/2019,EW1V9
07/10/2019,E2AV9
09/10/2019,E2CV9
11/10/2019,EW2V9
14/10/2019,E3AV9
16/10/2019,E3CV9
18/10/2019,EW3V9
21/10/2019,E4AV9
23/10/2019,E4CV9
25/10/2019,EW4V9
28/10/2019,E5AV9
30/10/2019,E5CV9
31/10/2019,EWV9
01/11/2019,EW1X9
04/11/2019,E2AX9
06/11/2019,E2CX9
08/11/2019,EW2X9
11/11/2019,E3AX9
13/11/2019,E3CX9
15/11/2019,EW3X9
18/11/2019,E4AX9
20/11/2019,E4CX9
22/11/2019,EW4X9
25/11/2019,E5AX9
27/11/2019,E5CX9
29/11/2019,EWX9
02/12/2019,E1AZ9
04/12/2019,E1CZ9
06/12/2019,EW1Z9
09/12/2019,E2AZ9
11/12/2019,E2CZ9
13/12/2019,EW2Z9
16/12/2019,E3AZ9
18/12/2019,E3CZ9
20/12/2019,ESZ9
23/12/2019,E4AZ9
27/12/2019,EW4Z9
30/12/2019,E5AZ9
31/12/2019,EWZ9
03/01/2020,EW1F0
06/01/2020,E2AF0
08/01/2020,E2CF0
10/01/2020,EW2F0
13/01/2020,E3AF0
15/01/2020,E3CF0
17/01/2020,EW3F0
22/01/2020,E4CF0
24/01/2020,EW4F0
27/01/2020,E5AF0
29/01/2020,E5CF0
31/01/2020,EWF0
03/02/2020,E1AG0
05/02/2020,E1CG0
07/02/2020,EW1G0
10/02/2020,E2AG0
12/02/2020,E2CG0
14/02/2020,EW2G0
19/02/2020,E3CG0
21/02/2020,EW3G0
24/02/2020,E4AG0
26/02/2020,E4CG0
28/02/2020,EWG0
02/03/2020,E1AH0
04/03/2020,E1CH0
06/03/2020,EW1H0
09/03/2020,E2AH0
11/03/2020,E2CH0
13/03/2020,EW2H0
16/03/2020,E3AH0
18/03/2020,E3CH0
20/03/2020,ESH0
23/03/2020,E4AH0
25/03/2020,E4CH0
27/03/2020,EW4H0
30/03/2020,E5AH0
31/03/2020,EWH0
01/04/2020,E1CJ0
03/04/2020,EW1J0
06/04/2020,E2AJ0
08/04/2020,E2CJ0
13/04/2020,E3AJ0
15/04/2020,E3CJ0
17/04/2020,EW3J0
20/04/2020,E4AJ0
22/04/2020,E4CJ0
24/04/2020,EW4J0
27/04/2020,E5AJ0
29/04/2020,E5CJ0
30/04/2020,EWJ0
01/05/2020,EW1K0
04/05/2020,E2AK0
06/05/2020,E2CK0
08/05/2020,EW2K0
11/05/2020,E3AK0
13/05/2020,E3CK0
15/05/2020,EW3K0
18/05/2020,E4AK0
20/05/2020,E4CK0
22/05/2020,EW4K0
27/05/2020,E5CK0
29/05/2020,EWK0
01/06/2020,E1AM0
03/06/2020,E1CM0
05/06/2020,EW1M0
08/06/2020,E2AM0
10/06/2020,E2CM0
12/06/2020,EW2M0
15/06/2020,E3AM0
17/06/2020,E3CM0
19/06/2020,ESM0
22/06/2020,E4AM0
24/06/2020,E4CM0
26/06/2020,EW4M0
29/06/2020,E5AM0
30/06/2020,EWM0
06/07/2020,E1AN0
08/07/2020,E1CN0
10/07/2020,EW1N0
13/07/2020,E2AN0
15/07/2020,E2CN0
17/07/2020,EW2N0
20/07/2020,E3AN0
22/07/2020,E3CN0
24/07/2020,EW3N0
27/07/2020,E4AN0
29/07/2020,E4CN0
31/07/2020,EWN0
03/08/2020,E1AQ0
05/08/2020,E1CQ0
07/08/2020,EW1Q0
10/08/2020,E2AQ0
12/08/2020,E2CQ0
14/08/2020,EW2Q0
17/08/2020,E3AQ0
19/08/2020,E3CQ0
21/08/2020,EW3Q0
24/08/2020,E4AQ0
26/08/2020,E4CQ0
28/08/2020,EW4Q0
31/08/2020,EWQ0
02/09/2020,E1CU0
04/09/2020,EW1U0
09/09/2020,E2CU0
11/09/2020,EW2U0
14/09/2020,E3AU0
16/09/2020,E3CU0
18/09/2020,ESU0
21/09/2020,E4AU0
23/09/2020,E4CU0
25/09/2020,EW4U0
28/09/2020,E5AU0
30/09/2020,EWU0
02/10/2020,EW1V0
05/10/2020,E2AV0
07/10/2020,E2CV0
09/10/2020,EW2V0
12/10/2020,E3AV0
14/10/2020,E3CV0
16/10/2020,EW3V0
19/10/2020,E4AV0
21/10/2020,E4CV0
23/10/2020,EW4V0
26/10/2020,E5AV0
28/10/2020,E5CV0
30/10/2020,EWV0
02/11/2020,E1AX0
04/11/2020,E1CX0
06/11/2020,EW1X0
09/11/2020,E2AX0
11/11/2020,E2CX0
13/11/2020,EW2X0
16/11/2020,E3AX0
18/11/2020,E3CX0
20/11/2020,EW3X0
23/11/2020,E4AX0
25/11/2020,E4CX0
27/11/2020,EW4X0
30/11/2020,EWX0
02/12/2020,E1CZ0
04/12/2020,EW1Z0
07/12/2020,E2AZ0
09/12/2020,E2CZ0
11/12/2020,EW2Z0
14/12/2020,E3AZ0
16/12/2020,E3CZ0
18/12/2020,ESZ0
21/12/2020,E4AZ0
23/12/2020,E4CZ0
28/12/2020,E5AZ0
30/12/2020,E5CZ0
31/12/2020,EWZ0
04/01/2021,E1AF1
06/01/2021,E1CF1
08/01/2021,EW1F1
11/01/2021,E2AF1
13/01/2021,E2CF1
15/01/2021,EW2F1
20/01/2021,E3CF1
22/01/2021,EW3F1
25/01/2021,E4AF1
27/01/2021,E4CF1
29/01/2021,EWF1
01/02/2021,E1AG1
03/02/2021,E1CG1
05/02/2021,EW1G1
